Food ID,Keylist,Food Description,Short Food Description,Common Portion Size Amount,Common Portion Size Unit,Common Portion Size Description,Common Portion Size Gram Weight,Food Type,NCC Food Group,NCC Food Group Category,Water (g),Energy (kcal),Total Protein (g),Nitrogen (g),Animal Protein (g),Vegetable Protein (g),Total Fat (g),Total Carbohydrate (g),Available Carbohydrate (g),Total Dietary Fiber (g),Insoluble Dietary Fiber (g),Soluble Dietary Fiber (g),Pectins (g),Ash (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Manganese (mg),Selenium (mcg),Vitamin C (ascorbic acid) (mg),Thiamin (vitamin B1) (mg),Riboflavin (vitamin B2) (mg),Niacin (vitamin B3) (mg),Pantothenic acid (mg),"Vitamin B-6 (pyridoxine, pyridoxyl, & pyridoxamine) (mg)",Total Folate (mcg),Dietary Folate Equivalents (mcg),Natural Folate (food folate) (mcg),Synthetic Folate (folic acid) (mcg),Vitamin B-12 (cobalamin) (mcg),Total Vitamin A Activity (International Units) (IU),Retinol (mcg),Alpha-Carotene (provitamin A carotenoid) (mcg),Beta-Carotene (provitamin A carotenoid) (mcg),Beta-Cryptoxanthin (provitamin A carotenoid) (mcg),Lutein + Zeaxanthin (mcg),Lycopene (mcg),Beta-Carotene Equivalents (derived from provitamin A carotenoids) (mcg),Vitamin D (calciferol) (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin E (International Units) (IU),Vitamin E (Total Alpha-Tocopherol) (mg),Natural Alpha-Tocopherol (RRR-alpha-tocopherol or d-alpha-tocopherol) (mg),Synthetic Alpha-Tocopherol (all rac-alpha-tocopherol or dl-alpha-tocopherol) (mg),Total Alpha-Tocopherol Equivalents (mg),Beta-Tocopherol (mg),Gamma-Tocopherol (mg),Delta-Tocopherol (mg),Vitamin K (phylloquinone) (mcg),Choline (mg),Betaine (mg),Total Saturated Fatty Acids (SFA) (g),SFA 4:0 (butyric acid) (g),SFA 6:0 (caproic acid) (g),SFA 8:0 (caprylic acid) (g),SFA 10:0 (capric acid) (g),SFA 12:0 (lauric acid) (g),SFA 14:0 (myristic acid) (g),SFA 16:0 (palmitic acid) (g),SFA 17:0 (margaric acid) (g),SFA 18:0 (stearic acid) (g),SFA 20:0 (arachidic acid) (g),SFA 22:0 (behenic acid) (g),Total Monounsaturated Fatty Acids (MUFA) (g),MUFA 14:1 (myristoleic acid) (g),MUFA 16:1 (palmitoleic acid) (g),MUFA 18:1 (oleic acid) (g),MUFA 20:1 (gadoleic acid) (g),MUFA 22:1 (erucic acid) (g),Total Polyunsaturated Fatty Acids (PUFA) (g),PUFA 18:2 (linoleic acid) (g),PUFA 18:3 (linolenic acid) (g),PUFA 18:3 n-3 (alpha-linolenic acid [ALA]) (g),PUFA 18:4 (parinaric acid) (g),PUFA 20:4 (arachidonic acid) (g),PUFA 20:5 (eicosapentaenoic acid [EPA]) (g),PUFA 22:5 (docosapentaenoic acid [DPA]) (g),PUFA 22:6 (docosahexaenoic acid [DHA]) (g),Total Trans-Fatty Acids (TRANS) (g),TRANS 16:1 (trans-hexadecenoic acid) (g),TRANS 18:1 (trans-octadecenoic acid) (g),TRANS 18:2 (trans-octadecadienoic acid) (g),Total Conjugated Linoleic Acid (CLA 18:2) (g),"CLA cis-9, trans-11 (g)","CLA trans-10, cis-12 (g)",Solid Fats (g),Cholesterol (mg),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic Acid (g),Glutamic Acid (g),Glycine (g),Proline (g),Serine (g),3-Methylhistidine (mg),Alcohol (g),Caffeine (mg),Added Sugars (by Available Carbohydrate) (g),Added Sugars (by Total Sugars) (g),Total Sugars (g),Glucose (g),Fructose (g),Galactose (g),Sucrose (g),Lactose (g),Maltose (g),Starch (g),Acesulfame Potassium (mg),Aspartame (mg),Saccharin (mg),Sucralose (mg),Tagatose (mg),Sucrose polyester (g),Phytic Acid (mg),Oxalic Acid (mg),Daidzein (mg),Genistein (mg),Glycitein (mg),Coumestrol (mg),Biochanin A (mg),Formononetin (mg),Erythritol (g),Inositol (g),Isomalt (g),Lactitol (g),Maltitol (g),Mannitol (g),Pinitol (g),Sorbitol (g),Xylitol (g),Glycemic Index (glucose reference),Glycemic Index (bread reference),Glycemic Load (glucose reference),Glycemic Load (bread reference),% Calories from Protein,% Calories from Fat,% Calories from Carbohydrate,% Calories from Alcohol,% Calories from SFA,% Calories from MUFA,% Calories from PUFA,Energy (kj),Polyunsaturated to Saturated Fat Ratio,Cholesterol to Saturated Fatty Acid Index,Omega-3 Fatty Acids (g),Total Vitamin A Activity (Retinol Activity Equivalents) (mcg),Total Vitamin A Activity (Retinol Equivalents) (mcg),Niacin Equivalents (mg)
111308,BABY.COM.GER.VEG.115,"baby food, brand name listing, Gerber, Vegetables, Gerber Organic Sweet Potatoes - 2nd Foods","Baby food, Gerber Organic Sweet Potatoes, 2nd Foods",4,TB,tablespoon,56,X,"Cooked vegetables, fresh, frozen or canned",Vegetables and vegetable products,47.488,31.92,0.616,0.101,0,0.616,0.056,7.392,6.552,0.84,0.532,0.308,0.224,0.448,8.96,0.207,7.28,13.44,147.28,12.32,0.118,0.045,0.101,0.392,1.176,0.016,0.018,0.2,0.218,0.052,5.6,5.6,5.6,0,0,3605.28,0,0,2163.28,0,0,0,2163.28,0,0,0,0.437,0.291,0.291,0,0.292,0,0.006,0,0.784,7.336,11.872,0.012,0,0,0,0,0,0,0.011,0,0.001,0,0,0.002,0,0,0.002,0,0,0.025,0.021,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.03,0.029,0.044,0.025,0.013,0.008,0.035,0.023,0.041,0.03,0.015,0.034,0.111,0.066,0.028,0.031,0.029,0,0,0,0,0,2.268,0.213,0.168,0,0.566,0,1.322,2.246,0,0,0,0,0,0,3.046,24.237,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,46,65.78,3.014,4.31,5.365,1.468,93.326,0,0.308,0.059,0.646,133.553,2.083,0.012,0.004,180.273,360.547,0.4
6499,BEEF.STEA.POR.NF,"beef, steak - beef, porterhouse, no visible fat eaten","Beef steak, porterhouse, no visible fat eaten",3,OZ,ounce,85.049,X,Beef,"Meat, fish, and poultry",50.68,173.499,26.084,4.176,26.084,0,7.654,0,0,0,0,0,0,0.987,5.953,2.152,17.01,164.144,214.322,34.87,4.423,0.063,0.009,26.96,0,0.06,0.139,4.559,0.515,0.343,8.505,8.505,8.505,0,1.454,0,0,0,0,0,0,0,0,0.128,0,0.128,0.544,0.366,0.366,0,0.366,0,0,0,1.276,99.337,13.012,2.904,0,0,0,0.016,0.016,0.227,1.811,0,0.833,0,0,3.332,0.068,0.323,2.929,0.012,0,0.312,0.202,0.074,0.074,0,0.019,0.003,0.014,0.001,0.348,0.014,0.298,0.034,0.034,0.022,0.012,0,76.544,0.172,1.042,1.186,2.074,2.204,0.68,0.337,1.03,0.831,1.294,1.687,0.833,1.585,2.375,3.916,1.588,1.243,1.027,14.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,60.137,39.706,0,0,15.066,17.285,1.619,725.92,0.107,6.76,0.092,0,0,7.426
7772,BEVE.COFF.REG.GRO,"beverages, coffee, regular (caffeinated), made from ground","Coffee, made from ground",8,FO,fluid ounce,236.8,C,Coffee,Beverages,235.356,2.368,0.284,0.047,0,0.284,0.047,1.113,0,1.113,0,1.113,0.024,0.829,4.736,0.024,7.104,7.104,116.032,4.736,0.047,0.005,0.054,0,0,0.033,0.18,0.452,0.601,0.002,4.736,4.736,4.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.024,0.024,0,0.026,0,0.024,0,0.237,6.157,0.237,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0.036,0,0,0.036,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.012,0.002,0,0.005,0.007,0.005,0.007,0.002,0.005,0.007,0.012,0.047,0.009,0.009,0.002,0,0,94.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.576,0.947,0.071,0.024,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.64,16.74,41.83,0,1.674,12.555,0.837,9.908,0.4,0.005,0,0,0,0.452
4476,CAKE.CHO.RTE.FRO,"cake, chocolate, purchased ready-to-eat, frosted","Chocolate cake, frosted, store bought",1,LCK,large cupcake,46,R,Cakes,Desserts,25.309,299.398,2.225,0.369,1.04,1.185,12.448,47.024,46.439,0.585,0.354,0.231,0.015,0.992,52.7,0.932,12.822,88.917,116.917,210.228,0.296,0.08,0.065,5.102,0.025,0.06,0.09,0.637,0.187,0.023,17.286,25.171,6.095,11.192,0.225,44.61,12.767,0,1.059,0.738,27.068,0,1.428,0.206,0,0.206,0.969,0.649,0.649,0,1.163,0.347,3.673,0.817,9.655,23.345,7.607,6.799,0.003,0.003,0.258,0.258,2.13,0.872,1.51,0.003,1.741,0.014,0.014,1.98,0.001,0.029,1.939,0.01,0,2.791,2.493,0.285,0.258,0,0.011,0,0,0.003,0.292,0,0.217,0.074,0.002,0.002,0,8.394,27.88,0.029,0.089,0.104,0.17,0.129,0.05,0.042,0.111,0.083,0.125,0.111,0.049,0.098,0.18,0.439,0.075,0.147,0.134,0,0,1.526,36.422,35.993,36.289,0.255,0.147,0,35.704,0.179,0.01,9.886,0,0,0,0,0,0,21.483,13.492,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,68.323,97.66,31.729,45.352,2.821,36.701,60.44,0,20.063,5.829,8.221,1252.681,0.411,8.261,0.261,12.886,13.005,1.12
3354,CAND.COM.HER.200,"candy, brand name listing, Hershey's, Kit Kat",Kit Kat,1,REB,"regular size bar - each 1.5 OZ - 4 strips - 3 5/8"" long each strip",43,X,Chocolate candy,"Candy, sugar, and sweets",0.112,215.43,1.961,0.318,1.109,0.851,10.776,29.386,28.406,0.98,0.791,0.189,0.116,0.765,39.13,0,26.66,89.01,0,58.91,0.985,0.21,0.205,1.978,0.258,0.056,0.139,0.289,0.203,0.024,7.74,9.89,4.73,3.01,0.344,0,0,0,0,0,0,0,0,0,0,0,0.323,0.215,0.215,0,0.255,0,0.391,0.038,2.451,19.694,0.559,6.833,0.241,0.087,0.05,0.095,0.104,0.318,2.855,0.031,2.927,0.082,0.009,3.715,0.055,0.105,3.539,0,0,0.335,0.284,0.019,0.019,0,0,0,0,0,0.166,0,0,0.166,0,0,0,10.75,4.73,0.025,0.073,0.089,0.146,0.108,0.034,0.023,0.086,0.074,0.112,0.088,0.041,0.072,0.165,0.332,0.058,0.138,0.089,0,0,8.6,22.713,22.644,23.508,0.069,0.069,0.017,22.536,1.398,0.026,3.775,0,0,0,0,2.531,0,61.202,21.552,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,59.537,85.054,16.912,24.16,3.368,43.517,53.062,0,27.593,15.004,1.354,901.359,0.049,7.138,0.019,0,0,0.706
462,CERE.RTE.COM.GEN.300,"cereal, ready-to-eat, brand name listing, General Mills, Honey Nut Cheerios (General Mills)",Honey Nut Cheerios (General Mills),1,CP,cup,37.333,C,Ready-to-eat cereals,Grain products,1.195,146.72,2.666,0.426,0.004,2.662,2.001,29.333,26.682,2.651,1.355,1.292,0.131,2.016,133.28,5.999,32.107,106.773,153.44,213.173,4.999,0.095,1.024,8.773,7.989,0.5,0.567,6.667,0.317,0.667,266.56,448.373,6.72,259.84,2.001,666.773,200.107,0,0,0,43.307,0,0,1.335,0,1.335,0.534,0.358,0.358,0,0.382,0.006,0.214,0.008,0.784,9.632,3.397,0.274,0,0,0,0,0.004,0.002,0.219,0,0.027,0.004,0.002,0.84,0,0.003,0.827,0.009,0,0.659,0.575,0.084,0.084,0,0,0,0,0,0.003,0,0,0.003,0,0,0,0,0,0.038,0.077,0.102,0.2,0.128,0.043,0.092,0.135,0.081,0.14,0.174,0.056,0.116,0.246,0.573,0.131,0.096,0.142,0,0,0,11.823,11.797,11.999,0.243,0.273,0.019,11.454,0,0.011,14.683,0,0,0,0,0,0,141.773,2.912,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,69.592,99.417,18.569,26.527,6.286,11.416,82.369,0,1.565,4.79,3.759,613.876,2.405,0.277,0.084,200.107,200.107,7.3
3218,CHEE.CHED.NAT,"cheese, Cheddar cheese, natural","Cheddar cheese, natural",1,OZ,ounce,28.35,C,Cheese,"Milk, cream, cheese, and related products",10.518,115.099,6.815,1.069,6.815,0,9.588,0.377,0.377,0,0,0,0,1.052,191.359,0.045,7.654,134.093,21.546,182.571,0.972,0.016,0.009,8.023,0,0.008,0.123,0.011,0.136,0.014,7.371,7.371,7.371,0,0.249,281.794,72.575,0,24.097,0,0,0,24.097,0.17,0,0.17,0.329,0.221,0.221,0,0.223,0,0.017,0,0.822,4.678,0.198,5.491,0.191,0.16,0.102,0.243,0.274,0.88,2.468,0.055,1.006,0.014,0.004,2.389,0.086,0.139,2.129,0.017,0,0.406,0.334,0.035,0.033,0,0.014,0.003,0.005,0,0.334,0.029,0.239,0.065,0.049,0.042,0.007,8.587,28.917,0.158,0.302,0.349,0.561,0.297,0.158,0.035,0.311,0.321,0.406,0.158,0.158,0.217,0.502,1.37,0.158,0.723,0.226,0,0,0,0,0,0.079,0,0,0.028,0,0.051,0,0,0,0,0,0,0.057,0,0,2.835,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,41,58.63,0.155,0.221,25.283,73.471,1.268,0,42.075,18.309,3.113,481.574,0.074,6.992,0.041,74.583,76.591,2.644
19589,COOK.COM.NAB.455,"cookies and bars, brand name listing, Nabisco, Nabisco Oreo Chocolate Sandwich - Double Stuf","Oreo Cookies, Double Stuf (Nabisco)",2,EA,each,29,X,Cookies,Desserts,1.805,144.659,1.26,0.222,0,1.26,6.956,20.874,19.876,0.998,0.71,0.288,0.046,0.316,3.949,0.675,11.836,23.785,39.697,95.146,0.197,0.09,0.137,3.227,0,0.067,0.049,0.54,0.042,0.006,11.392,17.776,2.32,9.072,0,0,0,0,0,0,2.272,0,0,0,0,0,1.656,1.109,1.109,0,1.209,0.006,0.968,0.035,2.692,1.131,5.957,2.044,0,0,0,0,0.003,0.033,1.664,0,0.296,0.021,0.011,3.408,0,0.017,3.344,0.047,0,1.279,0.969,0.31,0.31,0,0,0,0,0,0.03,0,0.006,0.023,0.002,0.001,0.001,3.574,0,0.017,0.039,0.045,0.084,0.039,0.019,0.023,0.063,0.041,0.058,0.057,0.026,0.046,0.076,0.351,0.049,0.117,0.06,0,0,4.6,13.078,12.944,13.002,1.208,0.981,0,10.808,0,0.008,6.607,0,0,0,0,0,0,44.992,23.274,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,67.714,96.831,13.459,19.246,2.927,42.395,54.696,0,12.436,20.793,7.803,605.253,0.626,2.064,0.31,0,0,0.823
15735,CRAC.COM.NAB.010,"crackers, brand name listing, Nabisco, Nabisco Cheese Nips - Cheddar","Cheese Nips, Cheddar (Nabisco)",29,EA,each,30,X,Crackers,Grain products,3.643,144.205,3.003,0.518,0.421,2.582,6.037,19.17,18.41,0.76,0.375,0.385,0,1.128,30.439,1.195,6.049,40.755,45,340.195,0.236,0.037,0.172,10.896,0,0.197,0.131,1.477,0.118,0.012,32.455,51.455,5.455,27,0.015,17.395,4.48,0,1.487,0,4.5,0,1.487,0.01,0,0.01,1.083,0.725,0.725,0,1.067,0.057,3.095,0.904,8.097,2.899,17.587,1.294,0.012,0.01,0.006,0.015,0.017,0.062,0.855,0.005,0.273,0.016,0.016,1.304,0.005,0.017,1.27,0.011,0,3.072,2.773,0.295,0.295,0,0.002,0,0,0,0.043,0.002,0.015,0.026,0.003,0.003,0,0.53,1.785,0.042,0.089,0.111,0.212,0.075,0.056,0.057,0.149,0.098,0.129,0.114,0.067,0.096,0.14,0.954,0.103,0.344,0.143,0,0,0,0,0,0.072,0,0,0.002,0.055,0.003,0.022,18.319,0,0,0,0,0.003,0,20.75,10.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.099,98.812,12.721,18.191,8.499,36.919,54.659,0,7.915,7.985,18.8,603.354,2.374,1.396,0.295,4.604,4.728,2.177
11781,DESS.SOPA,"desserts - miscellaneous, sopaipillas",Sopaipillas,4,PC,"piece - approx 1 3/5"" diameter",53.6,R,Miscellaneous desserts,Desserts,18.675,197.443,2.582,0.452,0,2.582,12.203,19.46,18.697,0.763,0.375,0.385,0,1.062,85.308,1.312,6.029,57.236,27.026,147.406,0.177,0.038,0.171,8.478,0,0.196,0.123,1.476,0.109,0.011,32,51,5,27,0,0,0,0,0,0,4.5,0,0,0,0,0,0.165,0.111,0.111,0,0.499,0.017,3.616,2,5.217,2.624,17.575,3.126,0,0,0,0,0,0,1.867,0,1.26,0,0,6.653,0,0,6.653,0,0,2.048,1.927,0.12,0.063,0,0,0,0,0,2.67,0,2.472,0.2,0.003,0.003,0,11.958,0,0.032,0.07,0.089,0.177,0.057,0.046,0.055,0.13,0.078,0.104,0.104,0.057,0.083,0.109,0.87,0.093,0.299,0.129,0,0,0,0,0,0.067,0,0,0,0.055,0,0.022,18.629,0,0,0,0,0,0,20.75,11.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.731,99.715,13.038,18.644,5.297,54.579,40.176,0,13.988,29.78,9.143,826.102,0.655,3.157,0.063,0,0,2.009
